"writer","pony","prop","times"
"Kevin Lappin","Rarity",0.358381502890173,3
"Lauren Faust","Rarity",0.0993377483443709,3
"Neal Dusedau","Rarity",0.184466019417476,3
"Jim Miller","Rarity",0.0568181818181818,3
"Kevin Burke & Chris ""Doc"" Wyatt","Rarity",0.162454873646209,3
"Meghan McCarthy","Fluttershy",0.118345093008339,26
"Josh Haber","Fluttershy",0.0661049902786779,22
"M. A. Larson","Fluttershy",0.115403913697943,18
"Amy Keating Rogers","Fluttershy",0.0727194492254733,17
"Dave Polsky","Fluttershy",0.0784053156146179,14
"Michael Vogel","Fluttershy",0.123380629241209,12
"Cindy Morrow","Fluttershy",0.095,11
"Nick Confalone","Fluttershy",0.0495662949194548,9
"Joanna Lewis & Kristine Songco","Fluttershy",0.106382978723404,9
"Charlotte Fullerton","Fluttershy",0.236082474226804,7
"Merriwether Williams","Fluttershy",0.191230207064555,7
"Nicole Dubuc","Fluttershy",0.106463878326996,7
"Michael P. Fox & Wil Fox","Fluttershy",0.0997267759562842,6
"Gillian M. Berrow","Fluttershy",0.132283464566929,5
"Scott Sonneborn","Fluttershy",0.15625,5
"Josh Hamilton","Fluttershy",0.202046035805627,4
"Natasha Levinger","Fluttershy",0.321507760532151,4
"Corey Powell","Fluttershy",0.12012012012012,4
"Dave Rapp","Fluttershy",0.211656441717791,4
"Ed Valentine","Fluttershy",0.0240384615384615,4
"Jayson Thiessen","Fluttershy",0.0863874345549738,4
"Kevin Lappin","Fluttershy",0,3
"Lauren Faust","Fluttershy",0.0860927152317881,3
"Neal Dusedau","Fluttershy",0.0550161812297735,3
"Jim Miller","Fluttershy",0.102272727272727,3
"Kevin Burke & Chris ""Doc"" Wyatt","Fluttershy",0.140794223826715,3
"Meghan McCarthy","Pinkie Pie",0.122835150737652,26
"Josh Haber","Pinkie Pie",0.114711600777706,22
"M. A. Larson","Pinkie Pie",0.120421475163071,18
"Amy Keating Rogers","Pinkie Pie",0.240103270223752,17
"Dave Polsky","Pinkie Pie",0.183388704318937,14
"Michael Vogel","Pinkie Pie",0.176434299814929,12
"Cindy Morrow","Pinkie Pie",0.139,11
"Nick Confalone","Pinkie Pie",0.425030978934325,9
"Joanna Lewis & Kristine Songco","Pinkie Pie",0.0465425531914894,9
"Charlotte Fullerton","Pinkie Pie",0.163917525773196,7
"Merriwether Williams","Pinkie Pie",0.125456760048721,7
"Nicole Dubuc","Pinkie Pie",0.11787072243346,7
"Michael P. Fox & Wil Fox","Pinkie Pie",0.207650273224044,6
"Gillian M. Berrow","Pinkie Pie",0.206299212598425,5
"Scott Sonneborn","Pinkie Pie",0.123046875,5
"Josh Hamilton","Pinkie Pie",0.242966751918159,4
"Natasha Levinger","Pinkie Pie",0.215077605321508,4
"Corey Powell","Pinkie Pie",0.0630630630630631,4
"Dave Rapp","Pinkie Pie",0.0398773006134969,4
"Ed Valentine","Pinkie Pie",0.0384615384615385,4
"Jayson Thiessen","Pinkie Pie",0.348167539267016,4
"Kevin Lappin","Pinkie Pie",0.0867052023121387,3
"Lauren Faust","Pinkie Pie",0.116997792494481,3
"Neal Dusedau","Pinkie Pie",0.0647249190938511,3
"Jim Miller","Pinkie Pie",0.257575757575758,3
"Kevin Burke & Chris ""Doc"" Wyatt","Pinkie Pie",0.162454873646209,3
