"word","n","writer"
"grateful",1,"Dave Rapp"
"gritted",1,"Dave Rapp"
"growl",1,"Dave Rapp"
"grown",1,"Dave Rapp"
"handsome",1,"Dave Rapp"
"happy",1,"Dave Rapp"
"hardest",1,"Dave Rapp"
"helpful",1,"Dave Rapp"
"honest",1,"Dave Rapp"
"horned",1,"Dave Rapp"
"horrible",1,"Dave Rapp"
"huh",1,"Dave Rapp"
"insane",1,"Dave Rapp"
"lifelong",1,"Dave Rapp"
"limp",1,"Dave Rapp"
"loudspeaker",1,"Dave Rapp"
"magic",1,"Dave Rapp"
"mine",1,"Dave Rapp"
"muffled",1,"Dave Rapp"
"nasty",1,"Dave Rapp"
"natural",1,"Dave Rapp"
"neigh",1,"Dave Rapp"
"nervous",1,"Dave Rapp"
"political",1,"Dave Rapp"
"positive",1,"Dave Rapp"
"private",1,"Dave Rapp"
"quaint",1,"Dave Rapp"
"rash",1,"Dave Rapp"
"reasonable",1,"Dave Rapp"
"red",1,"Dave Rapp"
"regular",1,"Dave Rapp"
"required",1,"Dave Rapp"
"resilient",1,"Dave Rapp"
"rich",1,"Dave Rapp"
"rid",1,"Dave Rapp"
"ridiculous",1,"Dave Rapp"
"rotten",1,"Dave Rapp"
"rough",1,"Dave Rapp"
"rude",1,"Dave Rapp"
"safe",1,"Dave Rapp"
"smart",1,"Dave Rapp"
"sonic",1,"Dave Rapp"
"sparkle",1,"Dave Rapp"
"speedy",1,"Dave Rapp"
"square",1,"Dave Rapp"
"stiff",1,"Dave Rapp"
"straightforward",1,"Dave Rapp"
"supportive",1,"Dave Rapp"
"sweet",1,"Dave Rapp"
"talented",1,"Dave Rapp"
"this<u+0097>",1,"Dave Rapp"
"threatened",1,"Dave Rapp"
"total",1,"Dave Rapp"
"unannounced",1,"Dave Rapp"
"unforgettable",1,"Dave Rapp"
"unmanageable",1,"Dave Rapp"
"usual",1,"Dave Rapp"
"worried",1,"Dave Rapp"
"traditional",10,"Ed Valentine"
"creative",9,"Ed Valentine"
"fastest",9,"Ed Valentine"
"perfect",9,"Ed Valentine"
"sick",7,"Ed Valentine"
"special",7,"Ed Valentine"
"wonderful",7,"Ed Valentine"
"hard",6,"Ed Valentine"
"<u+0096>",5,"Ed Valentine"
"amazing",5,"Ed Valentine"
"awesome",5,"Ed Valentine"
"impossible",5,"Ed Valentine"
"lucky",4,"Ed Valentine"
"ready",4,"Ed Valentine"
"real",4,"Ed Valentine"
"wrong",4,"Ed Valentine"
"cool",3,"Ed Valentine"
"dear",3,"Ed Valentine"
"fine",3,"Ed Valentine"
"glad",3,"Ed Valentine"
"honest",3,"Ed Valentine"
"obvious",3,"Ed Valentine"
"yellow",3,"Ed Valentine"
"acceptable",2,"Ed Valentine"
"bad",2,"Ed Valentine"
"biggest",2,"Ed Valentine"
"blue",2,"Ed Valentine"
"bold",2,"Ed Valentine"
"boldest",2,"Ed Valentine"
"cranky",2,"Ed Valentine"
"darling",2,"Ed Valentine"
"excited",2,"Ed Valentine"
"fake",2,"Ed Valentine"
"fantastic",2,"Ed Valentine"
"final",2,"Ed Valentine"
"helpless",2,"Ed Valentine"
"hungry",2,"Ed Valentine"
"impressive",2,"Ed Valentine"
"incredible",2,"Ed Valentine"
"lovely",2,"Ed Valentine"
"magical",2,"Ed Valentine"
"modern",2,"Ed Valentine"
"nervous",2,"Ed Valentine"
"nice",2,"Ed Valentine"
"proud",2,"Ed Valentine"
"rare",2,"Ed Valentine"
"sweet",2,"Ed Valentine"
"tired",2,"Ed Valentine"
"true",2,"Ed Valentine"
"weak",2,"Ed Valentine"
"bad",7,"Jayson Thiessen"
"amazing",5,"Jayson Thiessen"
"hard",5,"Jayson Thiessen"
"nervous",5,"Jayson Thiessen"
"perfect",5,"Jayson Thiessen"
"ready",5,"Jayson Thiessen"
"special",5,"Jayson Thiessen"
"super",5,"Jayson Thiessen"
"mad",4,"Jayson Thiessen"
"powerful",4,"Jayson Thiessen"
"real",4,"Jayson Thiessen"
"wrong",4,"Jayson Thiessen"
"afraid",3,"Jayson Thiessen"
"beautiful",3,"Jayson Thiessen"
"blue",3,"Jayson Thiessen"
"duper",3,"Jayson Thiessen"
"fine",3,"Jayson Thiessen"
"late",3,"Jayson Thiessen"
"main",3,"Jayson Thiessen"
"pretty",3,"Jayson Thiessen"
"strong",3,"Jayson Thiessen"
"yak",3,"Jayson Thiessen"
"avant",2,"Jayson Thiessen"
"awful",2,"Jayson Thiessen"
"boneless",2,"Jayson Thiessen"
"calm",2,"Jayson Thiessen"
"certified",2,"Jayson Thiessen"
"cheesy",2,"Jayson Thiessen"
"dandy",2,"Jayson Thiessen"
"divine",2,"Jayson Thiessen"
"funny",2,"Jayson Thiessen"
"glad",2,"Jayson Thiessen"
"happy",2,"Jayson Thiessen"
"honest",2,"Jayson Thiessen"
"infect",2,"Jayson Thiessen"
"lucky",2,"Jayson Thiessen"
"nice",2,"Jayson Thiessen"
"noble",2,"Jayson Thiessen"
"northern",2,"Jayson Thiessen"
"quick",2,"Jayson Thiessen"
"terrible",2,"Jayson Thiessen"
"traditional",2,"Jayson Thiessen"
"true",2,"Jayson Thiessen"
"unique",2,"Jayson Thiessen"
"warm",2,"Jayson Thiessen"
"wonderful",2,"Jayson Thiessen"
"worse",2,"Jayson Thiessen"
"worth",2,"Jayson Thiessen"
"absolute",1,"Jayson Thiessen"
"angry",1,"Jayson Thiessen"
"authentic",1,"Jayson Thiessen"
"awake",1,"Jayson Thiessen"
"awesome",1,"Jayson Thiessen"
"bigger",1,"Jayson Thiessen"
"biggest",1,"Jayson Thiessen"
"busy",1,"Jayson Thiessen"
"closed",1,"Jayson Thiessen"
"cold",1,"Jayson Thiessen"
"complete",1,"Jayson Thiessen"
"cool",1,"Jayson Thiessen"
"corrupt",1,"Jayson Thiessen"
"crazy",1,"Jayson Thiessen"
"diplomatic",1,"Jayson Thiessen"
"distinguished",1,"Jayson Thiessen"
"easy",1,"Jayson Thiessen"
"endless",1,"Jayson Thiessen"
"evil",1,"Jayson Thiessen"
"fair",1,"Jayson Thiessen"
"fair<u+0097>",1,"Jayson Thiessen"
"faithful",1,"Jayson Thiessen"
"familiar",1,"Jayson Thiessen"
"fantabulous",1,"Jayson Thiessen"
"favorite",1,"Jayson Thiessen"
"fiftieth",1,"Jayson Thiessen"
"finer",1,"Jayson Thiessen"
"free",1,"Jayson Thiessen"
"frown",1,"Jayson Thiessen"
"funnest",1,"Jayson Thiessen"
"funnier",1,"Jayson Thiessen"
"fuzzy",1,"Jayson Thiessen"
"giant",1,"Jayson Thiessen"
"goof",1,"Jayson Thiessen"
"gritted",1,"Jayson Thiessen"
"hasty",1,"Jayson Thiessen"
"heavy",1,"Jayson Thiessen"
"horrible",1,"Jayson Thiessen"
"hungry",1,"Jayson Thiessen"
"impressed",1,"Jayson Thiessen"
"just<u+0097>",1,"Jayson Thiessen"
"largest",1,"Jayson Thiessen"
"local",1,"Jayson Thiessen"
"magical",1,"Jayson Thiessen"
"massive",1,"Jayson Thiessen"
"nasty",1,"Jayson Thiessen"
"normal",1,"Jayson Thiessen"
"official",1,"Jayson Thiessen"
"organized",1,"Jayson Thiessen"
"pal",1,"Jayson Thiessen"
"premiere",1,"Jayson Thiessen"
"proud",1,"Jayson Thiessen"
"public",1,"Jayson Thiessen"
"quiet",1,"Jayson Thiessen"
"random",1,"Jayson Thiessen"
"rare",1,"Jayson Thiessen"
"red",1,"Jayson Thiessen"
"responsible",1,"Jayson Thiessen"
"saying<u+0097>",1,"Jayson Thiessen"
"secret",1,"Jayson Thiessen"
"sensitive",1,"Jayson Thiessen"
"sleepless",1,"Jayson Thiessen"
"smooth",1,"Jayson Thiessen"
"straight",1,"Jayson Thiessen"
"superbial",1,"Jayson Thiessen"
"superior",1,"Jayson Thiessen"
"sweet",1,"Jayson Thiessen"
"tense",1,"Jayson Thiessen"
"tired",1,"Jayson Thiessen"
"tougher",1,"Jayson Thiessen"
"tricky",1,"Jayson Thiessen"
"unexpected",1,"Jayson Thiessen"
"unhappy",1,"Jayson Thiessen"
"waking",1,"Jayson Thiessen"
"wise",1,"Jayson Thiessen"
"worried",1,"Jayson Thiessen"
"worst",1,"Jayson Thiessen"
"yakyakistan",1,"Jayson Thiessen"
"bad",7,"Jim Miller"
"nervous",5,"Jim Miller"
"hard",4,"Jim Miller"
"mad",4,"Jim Miller"
"perfect",4,"Jim Miller"
"powerful",4,"Jim Miller"
"real",4,"Jim Miller"
"special",4,"Jim Miller"
"wrong",4,"Jim Miller"
"afraid",3,"Jim Miller"
"amazing",3,"Jim Miller"
"beautiful",3,"Jim Miller"
"blue",3,"Jim Miller"
"fine",3,"Jim Miller"
"late",3,"Jim Miller"
"main",3,"Jim Miller"
"pretty",3,"Jim Miller"
"strong",3,"Jim Miller"
"yak",3,"Jim Miller"
"avant",2,"Jim Miller"
"awful",2,"Jim Miller"
"calm",2,"Jim Miller"
"dandy",2,"Jim Miller"
"funny",2,"Jim Miller"
"glad",2,"Jim Miller"
"happy",2,"Jim Miller"
"honest",2,"Jim Miller"
"infect",2,"Jim Miller"
"noble",2,"Jim Miller"
"northern",2,"Jim Miller"
"quick",2,"Jim Miller"
"terrible",2,"Jim Miller"
"traditional",2,"Jim Miller"
"true",2,"Jim Miller"
"unique",2,"Jim Miller"
"wonderful",2,"Jim Miller"
"worse",2,"Jim Miller"
"worth",2,"Jim Miller"
"absolute",1,"Jim Miller"
"angry",1,"Jim Miller"
"authentic",1,"Jim Miller"
"awake",1,"Jim Miller"
"bigger",1,"Jim Miller"
"busy",1,"Jim Miller"
"closed",1,"Jim Miller"
"cold",1,"Jim Miller"
"complete",1,"Jim Miller"
"cool",1,"Jim Miller"
"corrupt",1,"Jim Miller"
"crazy",1,"Jim Miller"
"diplomatic",1,"Jim Miller"
"distinguished",1,"Jim Miller"
"divine",1,"Jim Miller"
"easy",1,"Jim Miller"
"endless",1,"Jim Miller"
"evil",1,"Jim Miller"
"fair",1,"Jim Miller"
"fair<u+0097>",1,"Jim Miller"
"faithful",1,"Jim Miller"
"familiar",1,"Jim Miller"
"favorite",1,"Jim Miller"
"fiftieth",1,"Jim Miller"
"finer",1,"Jim Miller"
"frown",1,"Jim Miller"
"giant",1,"Jim Miller"
"gritted",1,"Jim Miller"
"hasty",1,"Jim Miller"
"heavy",1,"Jim Miller"
"horrible",1,"Jim Miller"
"hungry",1,"Jim Miller"
"impressed",1,"Jim Miller"
"just<u+0097>",1,"Jim Miller"
"largest",1,"Jim Miller"
"local",1,"Jim Miller"
"lucky",1,"Jim Miller"
"magical",1,"Jim Miller"
"massive",1,"Jim Miller"
"nasty",1,"Jim Miller"
"nice",1,"Jim Miller"
"normal",1,"Jim Miller"
"organized",1,"Jim Miller"
"pal",1,"Jim Miller"
"proud",1,"Jim Miller"
"public",1,"Jim Miller"
"quiet",1,"Jim Miller"
"random",1,"Jim Miller"
"rare",1,"Jim Miller"
"ready",1,"Jim Miller"
"red",1,"Jim Miller"
"responsible",1,"Jim Miller"
"saying<u+0097>",1,"Jim Miller"
"secret",1,"Jim Miller"
"sensitive",1,"Jim Miller"
"sleepless",1,"Jim Miller"
"smooth",1,"Jim Miller"
"straight",1,"Jim Miller"
"tired",1,"Jim Miller"
"tougher",1,"Jim Miller"
"tricky",1,"Jim Miller"
"unexpected",1,"Jim Miller"
"unhappy",1,"Jim Miller"
"waking",1,"Jim Miller"
"warm",1,"Jim Miller"
"wise",1,"Jim Miller"
"worried",1,"Jim Miller"
"worst",1,"Jim Miller"
"yakyakistan",1,"Jim Miller"
"nice",19,"Joanna Lewis"
"hard",15,"Joanna Lewis"
"wrong",15,"Joanna Lewis"
"ready",13,"Joanna Lewis"
"amazing",11,"Joanna Lewis"
"strong",11,"Joanna Lewis"
"easy",10,"Joanna Lewis"
"glad",9,"Joanna Lewis"
"mad",9,"Joanna Lewis"
"pear",9,"Joanna Lewis"
"real",8,"Joanna Lewis"
"terrible",8,"Joanna Lewis"
"awesome",7,"Joanna Lewis"
"perfect",7,"Joanna Lewis"
"wonderful",7,"Joanna Lewis"
"bad",6,"Joanna Lewis"
"exciting",6,"Joanna Lewis"
"powerful",6,"Joanna Lewis"
"proud",6,"Joanna Lewis"
"royal",6,"Joanna Lewis"
"special",6,"Joanna Lewis"
"beautiful",5,"Joanna Lewis"
"busy",5,"Joanna Lewis"
"favorite",5,"Joanna Lewis"
"fine",5,"Joanna Lewis"
"fluttershy",5,"Joanna Lewis"
"lovely",5,"Joanna Lewis"
"magical",5,"Joanna Lewis"
"afraid",4,"Joanna Lewis"
"basic",4,"Joanna Lewis"
"cold",4,"Joanna Lewis"
"dangerous",4,"Joanna Lewis"
"deep",4,"Joanna Lewis"
"happy",4,"Joanna Lewis"
"lucky",4,"Joanna Lewis"
"prepared",4,"Joanna Lewis"
"sick",4,"Joanna Lewis"
"stronger",4,"Joanna Lewis"
"super",4,"Joanna Lewis"
"sweet",4,"Joanna Lewis"
"<u+0096>",3,"Joanna Lewis"
"angry",3,"Joanna Lewis"
"backup",3,"Joanna Lewis"
"brave",3,"Joanna Lewis"
"crazy",3,"Joanna Lewis"
"dear",3,"Joanna Lewis"
"delicious",3,"Joanna Lewis"
"empty",3,"Joanna Lewis"
"fastest",3,"Joanna Lewis"
"helpful",3,"Joanna Lewis"
"honest",3,"Joanna Lewis"
"impossible",3,"Joanna Lewis"
"impressive",3,"Joanna Lewis"
"loud",3,"Joanna Lewis"
"nervous",3,"Joanna Lewis"
"potential",3,"Joanna Lewis"
"promising",3,"Joanna Lewis"
"safe",3,"Joanna Lewis"
"tiny",3,"Joanna Lewis"
"true",3,"Joanna Lewis"
"worst",3,"Joanna Lewis"
"perfect",22,"Fox"
"happy",10,"Fox"
"favorite",8,"Fox"
"bad",7,"Fox"
"comfortable",7,"Fox"
"normal",7,"Fox"
"lovely",6,"Fox"
"ready",6,"Fox"
"wonderful",6,"Fox"
"busy",5,"Fox"
"extra",5,"Fox"
"fine",5,"Fox"
"fluttershy",5,"Fox"
"glad",5,"Fox"
"nice",5,"Fox"
"silly",5,"Fox"
"worse",5,"Fox"
"amazing",4,"Fox"
"chaotic",4,"Fox"
"green",4,"Fox"
"hard",4,"Fox"
"hot",4,"Fox"
"low",4,"Fox"
"wrong",4,"Fox"
"adorable",3,"Fox"
"bigger",3,"Fox"
"common",3,"Fox"
"dear",3,"Fox"
"elegant",3,"Fox"
"funny",3,"Fox"
"proud",3,"Fox"
"quick",3,"Fox"
"special",3,"Fox"
"supportive",3,"Fox"
"true",3,"Fox"
"afraid",2,"Fox"
"breathtaking",2,"Fox"
"cold",2,"Fox"
"delectable",2,"Fox"
"delicious",2,"Fox"
"dreadful",2,"Fox"
"easier",2,"Fox"
"easy",2,"Fox"
"fresh",2,"Fox"
"funnest",2,"Fox"
"impossible",2,"Fox"
"incredible",2,"Fox"
"luxurious",2,"Fox"
"pampered",2,"Fox"
"pleased",2,"Fox"
"poor",2,"Fox"
"real",2,"Fox"
"relaxing",2,"Fox"
"safe",2,"Fox"
"satisfied",2,"Fox"
"spectacular",2,"Fox"
"sudden",2,"Fox"
"super",2,"Fox"
"sweet",2,"Fox"
"sweetest",2,"Fox"
"usual",2,"Fox"
"warm",2,"Fox"
"weird",2,"Fox"
"worth",2,"Fox"
"yovidaphone",2,"Fox"
"loudspeaker",9,"Kevin Burke"
"bad",6,"Kevin Burke"
"true",6,"Kevin Burke"
"evil",4,"Kevin Burke"
"perfect",4,"Kevin Burke"
"common",3,"Kevin Burke"
"crystal",3,"Kevin Burke"
"entertaining",3,"Kevin Burke"
"nice",3,"Kevin Burke"
"pink",3,"Kevin Burke"
"royal",3,"Kevin Burke"
"safe",3,"Kevin Burke"
"silly",3,"Kevin Burke"
"worse",3,"Kevin Burke"
"adorable",2,"Kevin Burke"
"brave",2,"Kevin Burke"
"crazy",2,"Kevin Burke"
"easy",2,"Kevin Burke"
"elegant",2,"Kevin Burke"
"familiar",2,"Kevin Burke"
"fine",2,"Kevin Burke"
"funnest",2,"Kevin Burke"
"glad",2,"Kevin Burke"
"gladmane",2,"Kevin Burke"
"glorious",2,"Kevin Burke"
"humble",2,"Kevin Burke"
"loud",2,"Kevin Burke"
"luxurious",2,"Kevin Burke"
"overwhelming",2,"Kevin Burke"
"ready",2,"Kevin Burke"
"real",2,"Kevin Burke"
"rich",2,"Kevin Burke"
"wrong",2,"Kevin Burke"
"<u+0096>",1,"Kevin Burke"
"absolute",1,"Kevin Burke"
"actual",1,"Kevin Burke"
"afraid",1,"Kevin Burke"
"amazing",1,"Kevin Burke"
"astounding",1,"Kevin Burke"
"bigger",1,"Kevin Burke"
"busy",1,"Kevin Burke"
"colorful",1,"Kevin Burke"
"compassionate",1,"Kevin Burke"
"cucumber",1,"Kevin Burke"
"dangerous",1,"Kevin Burke"
"darling",1,"Kevin Burke"
"dear",1,"Kevin Burke"
"delectable",1,"Kevin Burke"
"difficult",1,"Kevin Burke"
"disastrous",1,"Kevin Burke"
"eager",1,"Kevin Burke"
"embarrassing",1,"Kevin Burke"
"entire",1,"Kevin Burke"
"exact",1,"Kevin Burke"
"excellent",1,"Kevin Burke"
"exotic",1,"Kevin Burke"
"extra",1,"Kevin Burke"
"extraordinary",1,"Kevin Burke"
"fair",1,"Kevin Burke"
"fake",1,"Kevin Burke"
"fancy",1,"Kevin Burke"
"fluttershy",1,"Kevin Burke"
"funny",1,"Kevin Burke"
"gentle",1,"Kevin Burke"
"genuine",1,"Kevin Burke"
"giant",1,"Kevin Burke"
"grand",1,"Kevin Burke"
"grunt",1,"Kevin Burke"
"half",1,"Kevin Burke"
"hard",1,"Kevin Burke"
"helpful",1,"Kevin Burke"
"honest",1,"Kevin Burke"
"hooked",1,"Kevin Burke"
"hungry",1,"Kevin Burke"
"impressive",1,"Kevin Burke"
"innocent",1,"Kevin Burke"
"just<u+0097>",1,"Kevin Burke"
"key",1,"Kevin Burke"
"marine",1,"Kevin Burke"
"nicest",1,"Kevin Burke"
"normal",1,"Kevin Burke"
"obnoxious",1,"Kevin Burke"
"odd",1,"Kevin Burke"
"pathetic",1,"Kevin Burke"
"perilous",1,"Kevin Burke"
"personal",1,"Kevin Burke"
"personalized",1,"Kevin Burke"
"pleasant",1,"Kevin Burke"
"posh",1,"Kevin Burke"
"proper",1,"Kevin Burke"
"proud",1,"Kevin Burke"
"quick",1,"Kevin Burke"
"resplendent",1,"Kevin Burke"
"responsible",1,"Kevin Burke"
"rid",1,"Kevin Burke"
"seafarer",1,"Kevin Burke"
"seaworthy",1,"Kevin Burke"
"sick",1,"Kevin Burke"
"silliest",1,"Kevin Burke"
"simple",1,"Kevin Burke"
"slippery",1,"Kevin Burke"
"smart",1,"Kevin Burke"
"snort",1,"Kevin Burke"
"strange",1,"Kevin Burke"
"surprising",1,"Kevin Burke"
"sweet",1,"Kevin Burke"
"tired",1,"Kevin Burke"
"total",1,"Kevin Burke"
"treacherous",1,"Kevin Burke"
"unexpected",1,"Kevin Burke"
"unfit",1,"Kevin Burke"
"unique",1,"Kevin Burke"
"upset",1,"Kevin Burke"
"wealthiest",1,"Kevin Burke"
"weird",1,"Kevin Burke"
"wet",1,"Kevin Burke"
"wild",1,"Kevin Burke"
