"pony","pony2","relation","writer"
"Applejack","Rarity",0.00649524989673689,"Meghan McCarthy"
"Rainbow Dash","Rarity",0.00371747211895911,"Meghan McCarthy"
"Fluttershy","Rarity",0.0351786401010859,"Meghan McCarthy"
"pinkie Pie","Rarity",0.0116148336204552,"Meghan McCarthy"
"Twilight Sparkle","Fluttershy",0.0293974868093302,"Meghan McCarthy"
"Applejack","Fluttershy",0.00277777777777778,"Meghan McCarthy"
"Rainbow Dash","Fluttershy",0.0081448723690103,"Meghan McCarthy"
"Rarity","Fluttershy",0.0351786401010859,"Meghan McCarthy"
"pinkie Pie","Fluttershy",0.0147062357323081,"Meghan McCarthy"
"Twilight Sparkle","pinkie Pie",0.0259742306631467,"Meghan McCarthy"
"Applejack","pinkie Pie",0.00765582655826558,"Meghan McCarthy"
"Rainbow Dash","pinkie Pie",0.0353242793791574,"Meghan McCarthy"
"Rarity","pinkie Pie",0.0116148336204552,"Meghan McCarthy"
"Fluttershy","pinkie Pie",0.0147062357323081,"Meghan McCarthy"
"Applejack","Twilight Sparkle",0.0102114121510673,"Josh Haber"
"Rainbow Dash","Twilight Sparkle",0.00718390804597701,"Josh Haber"
"Rarity","Twilight Sparkle",0.0400987719068223,"Josh Haber"
"Fluttershy","Twilight Sparkle",0.00574712643678161,"Josh Haber"
"pinkie Pie","Twilight Sparkle",0.0192589875275128,"Josh Haber"
"Twilight Sparkle","Applejack",0.0102114121510673,"Josh Haber"
"Rainbow Dash","Applejack",0.0274527914614121,"Josh Haber"
"Rarity","Applejack",0.0438959804454101,"Josh Haber"
"Fluttershy","Applejack",0,"Josh Haber"
"pinkie Pie","Applejack",0.00755129179331307,"Josh Haber"
"Twilight Sparkle","Rainbow Dash",0.00718390804597701,"Josh Haber"
"Applejack","Rainbow Dash",0.0274527914614121,"Josh Haber"
"Rarity","Rainbow Dash",0,"Josh Haber"
"Fluttershy","Rainbow Dash",0.00574712643678161,"Josh Haber"
"pinkie Pie","Rainbow Dash",0.0110662753729518,"Josh Haber"
"Twilight Sparkle","Rarity",0.0400987719068223,"Josh Haber"
"Applejack","Rarity",0.0438959804454101,"Josh Haber"
"Rainbow Dash","Rarity",0,"Josh Haber"
"Fluttershy","Rarity",0.0519011406844107,"Josh Haber"
"pinkie Pie","Rarity",0.0167259930426341,"Josh Haber"
"Twilight Sparkle","Fluttershy",0.00574712643678161,"Josh Haber"
"Applejack","Fluttershy",0,"Josh Haber"
"Rainbow Dash","Fluttershy",0.00574712643678161,"Josh Haber"
"Rarity","Fluttershy",0.0519011406844107,"Josh Haber"
"pinkie Pie","Fluttershy",0.00531914893617021,"Josh Haber"
"Twilight Sparkle","pinkie Pie",0.0192589875275128,"Josh Haber"
"Applejack","pinkie Pie",0.00755129179331307,"Josh Haber"
"Rainbow Dash","pinkie Pie",0.0110662753729518,"Josh Haber"
"Rarity","pinkie Pie",0.0167259930426341,"Josh Haber"
"Fluttershy","pinkie Pie",0.00531914893617021,"Josh Haber"
"Applejack","Twilight Sparkle",0.0123591766886914,"Cindy Morrow"
"Rainbow Dash","Twilight Sparkle",0.0415352637614679,"Cindy Morrow"
"Rarity","Twilight Sparkle",0.00917431192660551,"Cindy Morrow"
"Fluttershy","Twilight Sparkle",0.0197006277160792,"Cindy Morrow"
"pinkie Pie","Twilight Sparkle",0.0425384463071744,"Cindy Morrow"
"Twilight Sparkle","Applejack",0.0123591766886914,"Cindy Morrow"
"Rainbow Dash","Applejack",0.0097251457253886,"Cindy Morrow"
"Rarity","Applejack",0.0128225257758937,"Cindy Morrow"
"Fluttershy","Applejack",0.00259067357512953,"Cindy Morrow"
"pinkie Pie","Applejack",0.00359712230215827,"Cindy Morrow"
"Twilight Sparkle","Rainbow Dash",0.0415352637614679,"Cindy Morrow"
"Applejack","Rainbow Dash",0.0097251457253886,"Cindy Morrow"
"Rarity","Rainbow Dash",0.0151515151515152,"Cindy Morrow"
"Fluttershy","Rainbow Dash",0.0924547697368421,"Cindy Morrow"
"pinkie Pie","Rainbow Dash",0.0702000899280576,"Cindy Morrow"
"Twilight Sparkle","Rarity",0.00917431192660551,"Cindy Morrow"
"Applejack","Rarity",0.0128225257758937,"Cindy Morrow"
"Rainbow Dash","Rarity",0.0151515151515152,"Cindy Morrow"
"Fluttershy","Rarity",0.0101010101010101,"Cindy Morrow"
"pinkie Pie","Rarity",0,"Cindy Morrow"
"Twilight Sparkle","Fluttershy",0.0197006277160792,"Cindy Morrow"
"Applejack","Fluttershy",0.00259067357512953,"Cindy Morrow"
"Rainbow Dash","Fluttershy",0.0924547697368421,"Cindy Morrow"
"Rarity","Fluttershy",0.0101010101010101,"Cindy Morrow"
"pinkie Pie","Fluttershy",0.00886028019689512,"Cindy Morrow"
"Twilight Sparkle","pinkie Pie",0.0425384463071744,"Cindy Morrow"
"Applejack","pinkie Pie",0.00359712230215827,"Cindy Morrow"
